"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"HSPB3",-0.777203199265665,7.84660439205928,-8.26389473948644,3.04065739955866e-12,9.63888395660094e-08,17.5188416677279,"HSPB3"
"DNAJC5G",-0.246477588684933,6.7733686854262,-7.98566237480686,1.04834956369173e-11,1.66163405845139e-07,16.3361233763677,"DNAJC5G"
"FRMPD2",-0.208507987102071,6.71196630815192,-7.74982879529276,2.9864466512234e-11,3.02866145690787e-07,15.3354622623914,"FRMPD2"
"CENTD2",0.192262544373704,6.92135973130373,7.6835878849084,4.00530355073445e-11,3.02866145690787e-07,15.0548456964179,"CENTD2"
"VGF",-1.59578321971036,9.85180056370938,-7.64379552628436,4.77706854401872e-11,3.02866145690787e-07,14.8863870893026,"VGF"
"ATXN10",-0.303623200137361,7.42696340240504,-7.58211039022764,6.27630062150985e-11,3.31597882836437e-07,14.6254300481734,"ATXN10"
"TMEM150A",0.523483367965201,8.21281566770693,7.51766502317218,8.34507896217156e-11,3.77912861572626e-07,14.3530528472864,"TMEM150A"
"NT5DC3",-0.567969715829255,8.29102311042642,-7.46408256277615,1.05730898994274e-10,4.18958687264811e-07,14.1268035301576,"NT5DC3"
"SERTAD3",0.171843946586565,6.79738819931436,7.4078051623945,1.35530917145718e-10,4.77370008168807e-07,13.8894016729942,"SERTAD3"
"STK38",0.425977792808265,8.25633168486382,7.3682580232701,1.61342924221369e-10,5.1145706978174e-07,13.7227223841279,"STK38"
"ADCYAP1",-0.853721363243758,7.3886485488606,-7.3460845818869,1.7789960148128e-10,5.12674306086962e-07,13.6293235769624,"ADCYAP1"
"CORO1C",0.338553177448121,9.17463235673507,7.27622394615246,2.41945614372911e-10,5.79752089467583e-07,13.3353309288295,"CORO1C"
"CTDSP2",0.588406162693129,9.75164040418716,7.27413635925543,2.44177324006553e-10,5.79752089467583e-07,13.3265524034757,"CTDSP2"
"POGK",0.51849713240998,9.86544376947612,7.25349042764281,2.6738209384591e-10,5.79752089467583e-07,13.2397553840558,"POGK"
"RAF1",0.298735903985696,8.72392383095974,7.24765426100317,2.74330641703903e-10,5.79752089467583e-07,13.2152267984798,"RAF1"
"HS.369017",-0.571429550624201,7.95093272137252,-7.20767657796008,3.27008116740057e-10,6.47884831291237e-07,13.0472921300142,"HS.369017"
"NFKB1",0.444745058358299,9.38125936474013,7.19356873998936,3.47906394478821e-10,6.4874310029286e-07,12.988065685434,"NFKB1"
"NIPBL",0.42134397649309,8.24581060131038,7.17402054360958,3.79076449257079e-10,6.67595746747188e-07,12.9060321721765,"NIPBL"
"C15ORF57",-0.253943309487961,8.04451709086916,-7.13834812234507,4.43286729496033e-10,7.39588911843381e-07,12.7564324000155,"C15ORF57"
"MLLT6",0.660449992933922,9.81766107238768,7.09908028832061,5.26532151726807e-10,8.10144280087955e-07,12.5919062917464,"MLLT6"
"ZNF438",0.24393548263088,7.39533616764443,7.0882933582342,5.52005611989012e-10,8.10144280087955e-07,12.5467393242844,"ZNF438"
"NETO1",-0.131995646601946,6.66881682222193,-7.0828000766125,5.65445217544955e-10,8.10144280087955e-07,12.523742704542,"NETO1"
"LOC388481",-0.341444048939753,6.99485795081639,-7.06754506353863,6.0449777900142e-10,8.10144280087955e-07,12.4598975836888,"LOC388481"
"GOLT1A",-0.195481372965888,6.70420620477871,-7.06354448485894,6.15175602801463e-10,8.10144280087955e-07,12.4431586217186,"GOLT1A"
"TMEM118",-0.353836189552488,8.04148991166616,-7.05489209049675,6.38915047387977e-10,8.10144280087955e-07,12.4069618783188,"TMEM118"
"C17ORF102",-0.140996940910192,6.64786467837411,-7.03943674193308,6.83607982648187e-10,8.20392537952172e-07,12.3423261484104,"C17ORF102"
"CHCHD6",-0.470256321311268,7.75566541427565,-7.02576761185394,7.25717509537925e-10,8.20392537952172e-07,12.2851829604512,"CHCHD6"
"NFKBIA",0.725857970562625,10.8741237627562,7.02532272862484,7.27130512431153e-10,8.20392537952172e-07,12.283323502435,"NFKBIA"
"HS.303060",-0.223729446809333,6.97287454051336,-7.01295436299678,7.67527762059043e-10,8.20392537952172e-07,12.2316370779224,"HS.303060"
"STAG1",0.285633222851923,7.66021293056206,7.01032570150278,7.76396723614043e-10,8.20392537952172e-07,12.2206543739944,"STAG1"
"ZC3H11B",0.335419427502131,9.23000659882146,6.99331494726319,8.36304061575162e-10,8.55188346836537e-07,12.1496018042657,"ZC3H11B"
"RHOQ",0.700542080321124,10.1568650365438,6.95149186162115,1.00384422699889e-09,9.94433187370778e-07,11.9750552878226,"RHOQ"
"EPHA10",-0.190019046188095,6.8920399087008,-6.91864081130881,1.15848752645689e-09,1.11285013905102e-06,11.8381016064323,"EPHA10"
"ZNF184",-0.444360898135337,7.22603638645465,-6.91146196887915,1.19531247088199e-09,1.11445309785173e-06,11.808191316612,"ZNF184"
"BRE",-0.354019645576761,7.63899507819031,-6.89513984927525,1.28342335931226e-09,1.13593515498748e-06,11.7402101310228,"BRE"
"LOC728533",0.292091674218078,9.89085913388078,6.89396284100949,1.29002099620029e-09,1.13593515498748e-06,11.7353092269191,"LOC728533"
"STS",-0.22531044147052,6.79955966050277,-6.86654994547454,1.45357927821817e-09,1.24239990882519e-06,11.6212158131854,"STS"
"TEAD2",0.816456042175193,8.33529603616378,6.86097017220721,1.4893121935444e-09,1.24239990882519e-06,11.5980045030772,"TEAD2"
"PDGFRB",0.794851397096576,9.94225583607427,6.80329803453246,1.9137894623382e-09,1.42656306467759e-06,11.3583355119634,"PDGFRB"
"RBPJ",0.266087810321713,7.06155852594302,6.79606264706354,1.97489394650224e-09,1.42656306467759e-06,11.3282989580349,"RBPJ"
"BCL6",0.680466103811549,9.78116672035949,6.79295073872316,2.00176671348889e-09,1.42656306467759e-06,11.3153825768598,"BCL6"
"S100A6",0.527672888186338,9.75320971258307,6.79162044368433,2.01336489072151e-09,1.42656306467759e-06,11.309861420448,"S100A6"
"CHST6",0.735491434633062,7.65393892667558,6.79050636704028,2.02312927701322e-09,1.42656306467759e-06,11.3052378281968,"CHST6"
"HBP1",0.374895488152841,8.23198869047095,6.78727841899251,2.05168702727894e-09,1.42656306467759e-06,11.2918423060965,"HBP1"
"SLC7A2",0.902620521861534,8.72670040115602,6.7854663318477,2.06789361758418e-09,1.42656306467759e-06,11.284323035044,"SLC7A2"
"KIAA0556",0.30414465711239,8.92416409347888,6.78522166754823,2.07009151341227e-09,1.42656306467759e-06,11.2833078332659,"KIAA0556"
"C19ORF30",-0.435982515486773,7.2786499286237,-6.74046761419484,2.51373329343791e-09,1.69543288089323e-06,11.0977478732004,"C19ORF30"
"NCALD",-0.793118590315649,10.5313426083033,-6.73035074854406,2.6264267013148e-09,1.73436130084854e-06,11.0558405702653,"NCALD"
"GRTP1",0.116585577160008,6.71235006390246,6.71996803891375,2.74729454729359e-09,1.73436130084854e-06,11.0128474102262,"GRTP1"
"GTF2H3",-0.268232389756631,7.38593506482035,-6.71408448886567,2.81821995285816e-09,1.73436130084854e-06,10.9884915078387,"GTF2H3"
"LOC649095",-0.40110972263684,7.05801693538137,-6.71371338390619,2.82275399882475e-09,1.73436130084854e-06,10.9869554283468,"LOC649095"
"SPRYD5",-0.576549562839809,7.92127305718332,-6.71190037333276,2.84500907394713e-09,1.73436130084854e-06,10.9794512952269,"SPRYD5"
"PFN2",-0.829017708264574,10.1767659037706,-6.69210307748356,3.09965002781736e-09,1.83219599972007e-06,10.8975408075853,"PFN2"
"PRKCG",-0.677721457370818,7.30389437385495,-6.69051050340829,3.12109097744113e-09,1.83219599972007e-06,10.8909541144643,"PRKCG"
"LOC387856",-0.715149730539178,8.0311684840375,-6.6710091157025,3.39588113347984e-09,1.95726239875111e-06,10.810329423619,"LOC387856"
"C16ORF91",-0.25110738444305,7.5520476668076,-6.66162947808741,3.53646587715816e-09,1.98260294426116e-06,10.7715714915989,"C16ORF91"
"SLC30A3",-0.933914825853948,9.73745458714794,-6.65977530078613,3.56493273889231e-09,1.98260294426116e-06,10.7639113566176,"SLC30A3"
"HEY2",0.814170970116965,8.54141716836989,6.6471250429051,3.76530904872979e-09,1.98903717399779e-06,10.7116635022131,"HEY2"
"CRH",-0.415991001810607,6.78883556508856,-6.64450837222301,3.80813020403337e-09,1.98903717399779e-06,10.7008592320327,"CRH"
"ELF1",0.485209022722555,8.21548127134752,6.64381577496581,3.81954500037545e-09,1.98903717399779e-06,10.6979996640223,"ELF1"
"SEZ6L",-0.201888855343983,6.68069770374342,-6.64333523511949,3.82748478277177e-09,1.98903717399779e-06,10.6960156735049,"SEZ6L"
"ITGB1",0.551941321442163,9.1527545270555,6.63047897722515,4.04608933876146e-09,2.02778494851628e-06,10.6429496352573,"ITGB1"
"TCEAL2",-0.573658039522613,11.7636494160476,-6.62964183023403,4.06074588435965e-09,2.02778494851628e-06,10.6394950777706,"TCEAL2"
