"SYMBOL","nprobes","meanlogFC","minadjP","meanB"
"HSPB3",1,-0.777203199265665,9.63888395660094e-08,17.5188416677279
"DNAJC5G",1,-0.246477588684933,1.66163405845139e-07,16.3361233763677
"CENTD2",1,0.192262544373704,3.02866145690787e-07,15.0548456964179
"FRMPD2",1,-0.208507987102071,3.02866145690787e-07,15.3354622623914
"VGF",1,-1.59578321971036,3.02866145690787e-07,14.8863870893026
"ATXN10",1,-0.303623200137361,3.31597882836437e-07,14.6254300481734
"TMEM150A",1,0.523483367965201,3.77912861572626e-07,14.3530528472864
"NT5DC3",1,-0.567969715829255,4.18958687264811e-07,14.1268035301576
"SERTAD3",1,0.171843946586565,4.77370008168807e-07,13.8894016729942
"STK38",1,0.425977792808265,5.1145706978174e-07,13.7227223841279
"ADCYAP1",1,-0.853721363243758,5.12674306086962e-07,13.6293235769624
"CORO1C",1,0.338553177448121,5.79752089467583e-07,13.3353309288295
"CTDSP2",1,0.588406162693129,5.79752089467583e-07,13.3265524034757
"POGK",1,0.51849713240998,5.79752089467583e-07,13.2397553840558
"RAF1",1,0.298735903985696,5.79752089467583e-07,13.2152267984798
"HS.369017",1,-0.571429550624201,6.47884831291237e-07,13.0472921300142
"NFKB1",1,0.444745058358299,6.4874310029286e-07,12.988065685434
"NIPBL",1,0.42134397649309,6.67595746747188e-07,12.9060321721765
"C15ORF57",1,-0.253943309487961,7.39588911843381e-07,12.7564324000155
"GOLT1A",1,-0.195481372965888,8.10144280087955e-07,12.4431586217186
"LOC388481",1,-0.341444048939753,8.10144280087955e-07,12.4598975836888
"MLLT6",1,0.660449992933922,8.10144280087955e-07,12.5919062917464
"NETO1",1,-0.131995646601946,8.10144280087955e-07,12.523742704542
"TMEM118",1,-0.353836189552488,8.10144280087955e-07,12.4069618783188
"ZNF438",1,0.24393548263088,8.10144280087955e-07,12.5467393242844
"C17ORF102",1,-0.140996940910192,8.20392537952172e-07,12.3423261484104
"CHCHD6",1,-0.470256321311268,8.20392537952172e-07,12.2851829604512
"HS.303060",1,-0.223729446809333,8.20392537952172e-07,12.2316370779224
"NFKBIA",1,0.725857970562625,8.20392537952172e-07,12.283323502435
"STAG1",1,0.285633222851923,8.20392537952172e-07,12.2206543739944
"ZC3H11B",1,0.335419427502131,8.55188346836537e-07,12.1496018042657
"RHOQ",1,0.700542080321124,9.94433187370778e-07,11.9750552878226
"EPHA10",1,-0.190019046188095,1.11285013905102e-06,11.8381016064323
"ZNF184",1,-0.444360898135337,1.11445309785173e-06,11.808191316612
"BRE",1,-0.354019645576761,1.13593515498748e-06,11.7402101310228
"LOC728533",1,0.292091674218078,1.13593515498748e-06,11.7353092269191
"STS",1,-0.22531044147052,1.24239990882519e-06,11.6212158131854
"TEAD2",1,0.816456042175193,1.24239990882519e-06,11.5980045030772
"BCL6",1,0.680466103811549,1.42656306467759e-06,11.3153825768598
"CHST6",1,0.735491434633062,1.42656306467759e-06,11.3052378281968
"HBP1",1,0.374895488152841,1.42656306467759e-06,11.2918423060965
"KIAA0556",1,0.30414465711239,1.42656306467759e-06,11.2833078332659
"PDGFRB",1,0.794851397096576,1.42656306467759e-06,11.3583355119634
"RBPJ",1,0.266087810321713,1.42656306467759e-06,11.3282989580349
"S100A6",1,0.527672888186338,1.42656306467759e-06,11.309861420448
"SLC7A2",1,0.902620521861534,1.42656306467759e-06,11.284323035044
"C19ORF30",1,-0.435982515486773,1.69543288089323e-06,11.0977478732004
"GRTP1",1,0.116585577160008,1.73436130084854e-06,11.0128474102262
"GTF2H3",1,-0.268232389756631,1.73436130084854e-06,10.9884915078387
"LOC649095",1,-0.40110972263684,1.73436130084854e-06,10.9869554283468
"NCALD",1,-0.793118590315649,1.73436130084854e-06,11.0558405702653
"SPRYD5",1,-0.576549562839809,1.73436130084854e-06,10.9794512952269
"PFN2",1,-0.829017708264574,1.83219599972007e-06,10.8975408075853
"PRKCG",1,-0.677721457370818,1.83219599972007e-06,10.8909541144643
"LOC387856",1,-0.715149730539178,1.95726239875111e-06,10.810329423619
"C16ORF91",1,-0.25110738444305,1.98260294426116e-06,10.7715714915989
"SLC30A3",1,-0.933914825853948,1.98260294426116e-06,10.7639113566176
"CRH",1,-0.415991001810607,1.98903717399779e-06,10.7008592320327
"ELF1",1,0.485209022722555,1.98903717399779e-06,10.6979996640223
"HEY2",1,0.814170970116965,1.98903717399779e-06,10.7116635022131
"SEZ6L",1,-0.201888855343983,1.98903717399779e-06,10.6960156735049
"ITGB1",1,0.551941321442163,2.02778494851628e-06,10.6429496352573
"KLHDC9",1,-0.321633220809554,2.02778494851628e-06,10.6317146061388
"TCEAL2",1,-0.573658039522613,2.02778494851628e-06,10.6394950777706
"HS.4892",1,-0.432637708628468,2.04067121187037e-06,10.5962639271446
"HS.548045",1,-0.319725980226411,2.04067121187037e-06,10.6060574209573
"CCKBR",1,-0.666866008794669,2.0674550490508e-06,10.5694396886321
"BAZ1A",1,0.341996393749977,2.11297380255583e-06,10.5067878229103
"C16ORF53",1,0.373732138635127,2.11297380255583e-06,10.5213741198707
"SLC35A2",1,-0.167534553353189,2.11297380255583e-06,10.5102264383832
"VCAN",1,0.792013976453209,2.25821019052144e-06,10.4297319519064
"LOC400464",1,0.212837589038175,2.32172241998894e-06,10.3766986484018
"XPNPEP2",1,-0.223750334298281,2.32172241998894e-06,10.3795736721948
"FAM160A2",1,-0.296399155230935,2.40237661654723e-06,10.3310809604252
"NUDT15",1,0.280076441832523,2.52370567259448e-06,10.2711955316836
"SRD5A3",1,-0.24917865812724,2.57166857038182e-06,10.2405606738385
"OPN4",1,-0.0620323354714527,2.58680298225284e-06,10.2224696424986
"NAP1L5",1,-1.00931764957873,2.79670941379583e-06,10.1356232110081
"PLCE1",1,0.433869331183745,2.89673907312581e-06,10.0898912232347
"FAM5B",1,-0.423996132133584,2.91072325703461e-06,10.0732775796772
"BRWD1",1,-0.693892504047946,2.92266587466638e-06,10.0512475953828
"C1ORF165",1,-0.372290127891042,2.92266587466638e-06,10.034206631661
"LAMA5",1,0.552155925107433,2.92266587466638e-06,10.0397097705231
"PRR16",1,-0.189473890785403,3.0717832957511e-06,9.97524340443573
"MCM7",1,0.554161068474602,3.23664981985041e-06,9.89849951919371
"NDUFAB1",1,-0.521215226142537,3.23664981985041e-06,9.89180259115107
"TCL1B",1,0.183868556392503,3.23664981985041e-06,9.89451992281359
"BRF2",1,-0.305191171124999,3.25331052956345e-06,9.87395127985993
"SAP30L",1,0.428487100348553,3.25331052956345e-06,9.86519456017609
"CYP2C8",1,-0.406866404582153,3.40976097876401e-06,9.79911977887268
"FBL",1,0.379973806221612,3.40976097876401e-06,9.8081087584972
"CRMP1",1,-0.390796714394227,3.43606186125286e-06,9.7710225461911
"PLXNB1",1,0.88849448640407,3.43606186125286e-06,9.77516682644977
"PTBP1",1,0.576808702870634,3.44244591997141e-06,9.75903706810188
"ITSN1",1,0.762471328916247,3.50632859312261e-06,9.73137452060658
"FBXO16",1,-0.188822168116097,3.52252458705424e-06,9.71697524357305
"ATP6V1E1",1,-0.631425772655755,3.53894538211014e-06,9.70263925301983
"MTMR10",1,0.352584055672486,3.78786979121591e-06,9.62794090738082
"CFLAR",1,0.754303829423254,3.86785395026196e-06,9.59829585024801
"PCDH8",1,-0.367216474271821,4.09565147227743e-06,9.53406246501341
"MRPL21",1,-0.326444640845077,4.25577676617174e-06,9.48794718161253
"CORT",1,-0.22091378822089,4.28649130859608e-06,9.47167557067159
"DDX39",1,0.449061167800368,4.36328099316344e-06,9.43618601192069
"PLEKHH3",1,0.454761510029875,4.36328099316344e-06,9.44530818648621
"C6ORF225",1,0.511222878705876,4.48179552232936e-06,9.37019392280673
"CHD7",1,0.564897369204186,4.48179552232936e-06,9.35463432093361
"DDIT4L",1,0.902729262454809,4.48179552232936e-06,9.35635318184199
"FAM65C",1,0.618916601872593,4.48179552232936e-06,9.35154006823289
"KCNJ10",1,0.598416658550216,4.48179552232936e-06,9.37655186527811
"KLHL35",1,-0.415801263192058,4.48179552232936e-06,9.33985535937328
"PPFIBP2",1,0.648156428489573,4.48179552232936e-06,9.34030521176176
"SVOP",1,-0.991842976265783,4.48179552232936e-06,9.34881072437304
"LINGO1",1,-0.645042216045759,4.63657471890433e-06,9.29895953826734
"ARAP1",1,0.282951989082934,4.85301920822939e-06,9.2469973862664
"C6ORF154",1,-0.300189552782308,4.89867105887419e-06,9.22972358055855
"TNIP1",1,0.341089393442013,5.09584501983568e-06,9.18379299107821
"VSTM2L",1,-0.596925511650509,5.19891651618561e-06,9.15648675426655
"MSC",1,-0.131088071836121,5.38269553089455e-06,9.1152068882179
"B4GALT4",1,0.368058453715203,5.38437489237193e-06,9.0988679203949
"CMTM4",1,0.292506423577855,5.38437489237193e-06,9.09901190278715
"CAMK1G",1,-0.704720528988251,5.89944790559012e-06,9.00375720603375
"BGN",1,0.761621782913455,6.24310666555364e-06,8.91755438120011
"KIAA0090",1,-0.321891803784101,6.24310666555364e-06,8.90718261262092
"LRRC32",1,0.771069689522323,6.24310666555364e-06,8.90353994416503
"NINJ1",1,0.554336646410301,6.24310666555364e-06,8.91295125074413
"PCSK1",1,-1.20850213054497,6.24310666555364e-06,8.92599309043061
"PCYOX1L",1,-0.485243609247156,6.24310666555364e-06,8.91548893046835
"INPP5D",1,0.559417973577026,6.24900856847192e-06,8.89515381070652
"RIMS1",1,-0.245619082844975,6.49303949282678e-06,8.85117279465296
"WBP11",1,-0.274507054109222,6.55571897442903e-06,8.83463712340713
"HOPX",1,-0.795094791401734,6.65033475692344e-06,8.79824187894741
"ITGA10",1,0.511307136627435,6.65033475692344e-06,8.80463474201351
