"SYMBOL","probeID","chr","pos","region","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HSPB3","HSPB3","chr5",53751272,"TSS200",-0.777203199265665,7.84660439205928,-8.26389473948644,3.04065739955866e-12,9.63888395660094e-08,17.5188416677279
"DNAJC5G","DNAJC5G","chr2",27498214,"TSS200",-0.246477588684933,6.7733686854262,-7.98566237480686,1.04834956369173e-11,1.66163405845139e-07,16.3361233763677
"FRMPD2","FRMPD2",NA,NA,NA,-0.208507987102071,6.71196630815192,-7.74982879529276,2.9864466512234e-11,3.02866145690787e-07,15.3354622623914
"CENTD2","CENTD2",NA,NA,NA,0.192262544373704,6.92135973130373,7.6835878849084,4.00530355073445e-11,3.02866145690787e-07,15.0548456964179
"VGF","VGF","chr7",100807168,"Body",-1.59578321971036,9.85180056370938,-7.64379552628436,4.77706854401872e-11,3.02866145690787e-07,14.8863870893026
"ATXN10","ATXN10",NA,NA,NA,-0.303623200137361,7.42696340240504,-7.58211039022764,6.27630062150985e-11,3.31597882836437e-07,14.6254300481734
"TMEM150A","TMEM150A",NA,NA,NA,0.523483367965201,8.21281566770693,7.51766502317218,8.34507896217156e-11,3.77912861572626e-07,14.3530528472864
"NT5DC3","NT5DC3","chr12",104166357,"3'UTR",-0.567969715829255,8.29102311042642,-7.46408256277615,1.05730898994274e-10,4.18958687264811e-07,14.1268035301576
"SERTAD3","SERTAD3","chr19",40950703,"TSS1500",0.171843946586565,6.79738819931436,7.4078051623945,1.35530917145718e-10,4.77370008168807e-07,13.8894016729942
"STK38","STK38","chr6",36515386,"TSS200",0.425977792808265,8.25633168486382,7.3682580232701,1.61342924221369e-10,5.1145706978174e-07,13.7227223841279
"ADCYAP1","ADCYAP1","chr18",903764,"TSS1500",-0.853721363243758,7.3886485488606,-7.3460845818869,1.7789960148128e-10,5.12674306086962e-07,13.6293235769624
"CORO1C","CORO1C","chr12",109106495,"5'UTR",0.338553177448121,9.17463235673507,7.27622394615246,2.41945614372911e-10,5.79752089467583e-07,13.3353309288295
"CTDSP2","CTDSP2","chr12",58237706,"Body",0.588406162693129,9.75164040418716,7.27413635925543,2.44177324006553e-10,5.79752089467583e-07,13.3265524034757
"POGK","POGK","chr1",166808428,"TSS1500",0.51849713240998,9.86544376947612,7.25349042764281,2.6738209384591e-10,5.79752089467583e-07,13.2397553840558
"RAF1","RAF1","chr3",12705702,"TSS200",0.298735903985696,8.72392383095974,7.24765426100317,2.74330641703903e-10,5.79752089467583e-07,13.2152267984798
"HS.369017","HS.369017",NA,NA,NA,-0.571429550624201,7.95093272137252,-7.20767657796008,3.27008116740057e-10,6.47884831291237e-07,13.0472921300142
"NFKB1","NFKB1",NA,NA,NA,0.444745058358299,9.38125936474013,7.19356873998936,3.47906394478821e-10,6.4874310029286e-07,12.988065685434
"NIPBL","NIPBL",NA,NA,NA,0.42134397649309,8.24581060131038,7.17402054360958,3.79076449257079e-10,6.67595746747188e-07,12.9060321721765
"C15ORF57","C15ORF57",NA,NA,NA,-0.253943309487961,8.04451709086916,-7.13834812234507,4.43286729496033e-10,7.39588911843381e-07,12.7564324000155
"MLLT6","MLLT6","chr17",36876238,"Body",0.660449992933922,9.81766107238768,7.09908028832061,5.26532151726807e-10,8.10144280087955e-07,12.5919062917464
"ZNF438","ZNF438",NA,NA,NA,0.24393548263088,7.39533616764443,7.0882933582342,5.52005611989012e-10,8.10144280087955e-07,12.5467393242844
"NETO1","NETO1","chr18",70535005,"TSS200",-0.131995646601946,6.66881682222193,-7.0828000766125,5.65445217544955e-10,8.10144280087955e-07,12.523742704542
"LOC388481","LOC388481",NA,NA,NA,-0.341444048939753,6.99485795081639,-7.06754506353863,6.0449777900142e-10,8.10144280087955e-07,12.4598975836888
"GOLT1A","GOLT1A","chr1",204183519,"TSS1500",-0.195481372965888,6.70420620477871,-7.06354448485894,6.15175602801463e-10,8.10144280087955e-07,12.4431586217186
"TMEM118","TMEM118",NA,NA,NA,-0.353836189552488,8.04148991166616,-7.05489209049675,6.38915047387977e-10,8.10144280087955e-07,12.4069618783188
"C17ORF102","C17ORF102",NA,NA,NA,-0.140996940910192,6.64786467837411,-7.03943674193308,6.83607982648187e-10,8.20392537952172e-07,12.3423261484104
"CHCHD6","CHCHD6","chr3",126440043,"Body",-0.470256321311268,7.75566541427565,-7.02576761185394,7.25717509537925e-10,8.20392537952172e-07,12.2851829604512
"NFKBIA","NFKBIA","chr14",35872393,"Body",0.725857970562625,10.8741237627562,7.02532272862484,7.27130512431153e-10,8.20392537952172e-07,12.283323502435
"HS.303060","HS.303060",NA,NA,NA,-0.223729446809333,6.97287454051336,-7.01295436299678,7.67527762059043e-10,8.20392537952172e-07,12.2316370779224
"STAG1","STAG1","chr3",136471634,"TSS1500",0.285633222851923,7.66021293056206,7.01032570150278,7.76396723614043e-10,8.20392537952172e-07,12.2206543739944
"ZC3H11B","ZC3H11B",NA,NA,NA,0.335419427502131,9.23000659882146,6.99331494726319,8.36304061575162e-10,8.55188346836537e-07,12.1496018042657
"RHOQ","RHOQ","chr2",46770281,"1stExon",0.700542080321124,10.1568650365438,6.95149186162115,1.00384422699889e-09,9.94433187370778e-07,11.9750552878226
"EPHA10","EPHA10","chr1",38218533,"Body",-0.190019046188095,6.8920399087008,-6.91864081130881,1.15848752645689e-09,1.11285013905102e-06,11.8381016064323
"ZNF184","ZNF184","chr6",27441298,"TSS1500",-0.444360898135337,7.22603638645465,-6.91146196887915,1.19531247088199e-09,1.11445309785173e-06,11.808191316612
"BRE","BRE",NA,NA,NA,-0.354019645576761,7.63899507819031,-6.89513984927525,1.28342335931226e-09,1.13593515498748e-06,11.7402101310228
"LOC728533","LOC728533",NA,NA,NA,0.292091674218078,9.89085913388078,6.89396284100949,1.29002099620029e-09,1.13593515498748e-06,11.7353092269191
"STS","STS","chrX",7137332,"TSS200",-0.22531044147052,6.79955966050277,-6.86654994547454,1.45357927821817e-09,1.24239990882519e-06,11.6212158131854
"TEAD2","TEAD2","chr19",49863290,"Body",0.816456042175193,8.33529603616378,6.86097017220721,1.4893121935444e-09,1.24239990882519e-06,11.5980045030772
"PDGFRB","PDGFRB","chr5",149520651,"5'UTR",0.794851397096576,9.94225583607427,6.80329803453246,1.9137894623382e-09,1.42656306467759e-06,11.3583355119634
"RBPJ","RBPJ",NA,NA,NA,0.266087810321713,7.06155852594302,6.79606264706354,1.97489394650224e-09,1.42656306467759e-06,11.3282989580349
"BCL6","BCL6","chr3",187462086,"5'UTR",0.680466103811549,9.78116672035949,6.79295073872316,2.00176671348889e-09,1.42656306467759e-06,11.3153825768598
"S100A6","S100A6","chr1",153508755,"TSS200",0.527672888186338,9.75320971258307,6.79162044368433,2.01336489072151e-09,1.42656306467759e-06,11.309861420448
"CHST6","CHST6","chr16",75529197,"TSS1500",0.735491434633062,7.65393892667558,6.79050636704028,2.02312927701322e-09,1.42656306467759e-06,11.3052378281968
"HBP1","HBP1","chr7",106810147,"5'UTR",0.374895488152841,8.23198869047095,6.78727841899251,2.05168702727894e-09,1.42656306467759e-06,11.2918423060965
"SLC7A2","SLC7A2","chr8",17354992,"5'UTR",0.902620521861534,8.72670040115602,6.7854663318477,2.06789361758418e-09,1.42656306467759e-06,11.284323035044
"KIAA0556","KIAA0556","chr16",27791248,"3'UTR",0.30414465711239,8.92416409347888,6.78522166754823,2.07009151341227e-09,1.42656306467759e-06,11.2833078332659
"C19ORF30","C19ORF30",NA,NA,NA,-0.435982515486773,7.2786499286237,-6.74046761419484,2.51373329343791e-09,1.69543288089323e-06,11.0977478732004
"NCALD","NCALD","chr8",103138381,"TSS1500",-0.793118590315649,10.5313426083033,-6.73035074854406,2.6264267013148e-09,1.73436130084854e-06,11.0558405702653
"GRTP1","GRTP1","chr13",113987487,"Body",0.116585577160008,6.71235006390246,6.71996803891375,2.74729454729359e-09,1.73436130084854e-06,11.0128474102262
"GTF2H3","GTF2H3","chr12",124144432,"Body",-0.268232389756631,7.38593506482035,-6.71408448886567,2.81821995285816e-09,1.73436130084854e-06,10.9884915078387
"LOC649095","LOC649095",NA,NA,NA,-0.40110972263684,7.05801693538137,-6.71371338390619,2.82275399882475e-09,1.73436130084854e-06,10.9869554283468
"SPRYD5","SPRYD5","chr11",55649706,"TSS1500",-0.576549562839809,7.92127305718332,-6.71190037333276,2.84500907394713e-09,1.73436130084854e-06,10.9794512952269
"PFN2","PFN2",NA,NA,NA,-0.829017708264574,10.1767659037706,-6.69210307748356,3.09965002781736e-09,1.83219599972007e-06,10.8975408075853
"PRKCG","PRKCG","chr19",54410305,"3'UTR",-0.677721457370818,7.30389437385495,-6.69051050340829,3.12109097744113e-09,1.83219599972007e-06,10.8909541144643
"LOC387856","LOC387856",NA,NA,NA,-0.715149730539178,8.0311684840375,-6.6710091157025,3.39588113347984e-09,1.95726239875111e-06,10.810329423619
"C16ORF91","C16ORF91",NA,NA,NA,-0.25110738444305,7.5520476668076,-6.66162947808741,3.53646587715816e-09,1.98260294426116e-06,10.7715714915989
"SLC30A3","SLC30A3","chr2",27486122,"TSS200",-0.933914825853948,9.73745458714794,-6.65977530078613,3.56493273889231e-09,1.98260294426116e-06,10.7639113566176
"HEY2","HEY2","chr6",126071294,"Body",0.814170970116965,8.54141716836989,6.6471250429051,3.76530904872979e-09,1.98903717399779e-06,10.7116635022131
"CRH","CRH","chr8",67089599,"Body",-0.415991001810607,6.78883556508856,-6.64450837222301,3.80813020403337e-09,1.98903717399779e-06,10.7008592320327
"ELF1","ELF1","chr13",41581930,"5'UTR",0.485209022722555,8.21548127134752,6.64381577496581,3.81954500037545e-09,1.98903717399779e-06,10.6979996640223
"SEZ6L","SEZ6L","chr22",26565951,"Body",-0.201888855343983,6.68069770374342,-6.64333523511949,3.82748478277177e-09,1.98903717399779e-06,10.6960156735049
"ITGB1","ITGB1",NA,NA,NA,0.551941321442163,9.1527545270555,6.63047897722515,4.04608933876146e-09,2.02778494851628e-06,10.6429496352573
"TCEAL2","TCEAL2","chrX",101380608,"TSS200",-0.573658039522613,11.7636494160476,-6.62964183023403,4.06074588435965e-09,2.02778494851628e-06,10.6394950777706
"KLHDC9","KLHDC9",NA,NA,NA,-0.321633220809554,8.37864150763932,-6.6277562828446,4.09395068470165e-09,2.02778494851628e-06,10.6317146061388
"HS.548045","HS.548045",NA,NA,NA,-0.319725980226411,7.08803924791465,-6.62153747900425,4.20538512324325e-09,2.04067121187037e-06,10.6060574209573
"HS.4892","HS.4892",NA,NA,NA,-0.432637708628468,10.5921122077959,-6.61916334075031,4.24871608780583e-09,2.04067121187037e-06,10.5962639271446
"CCKBR","CCKBR","chr11",6281180,"1stExon",-0.666866008794669,7.88413026063234,-6.6126595154707,4.36969994594332e-09,2.0674550490508e-06,10.5694396886321
"C16ORF53","C16ORF53",NA,NA,NA,0.373732138635127,8.6465483114519,6.60100146660562,4.59517376242656e-09,2.11297380255583e-06,10.5213741198707
"SLC35A2","SLC35A2","chrX",48760712,"3'UTR",-0.167534553353189,7.21949745493207,-6.59829691154009,4.64910854704126e-09,2.11297380255583e-06,10.5102264383832
"BAZ1A","BAZ1A",NA,NA,NA,0.341996393749977,7.54179934195984,6.59746260731957,4.66587275012329e-09,2.11297380255583e-06,10.5067878229103
"VCAN","VCAN",NA,NA,NA,0.792013976453209,9.33913585045073,6.57875963709391,5.05782093145182e-09,2.25821019052144e-06,10.4297319519064
"XPNPEP2","XPNPEP2","chrX",128872061,"TSS1500",-0.223750334298281,6.93755184206181,-6.56657791196073,5.33048601002865e-09,2.32172241998894e-06,10.3795736721948
"LOC400464","LOC400464",NA,NA,NA,0.212837589038175,7.08504081082522,6.56587949074624,5.34655320691458e-09,2.32172241998894e-06,10.3766986484018
"FAM160A2","FAM160A2",NA,NA,NA,-0.296399155230935,7.41132876094787,-6.5547951393516,5.60807159698723e-09,2.40237661654723e-06,10.3310809604252
"NUDT15","NUDT15","chr13",48611687,"TSS200",0.280076441832523,7.76192442712089,6.54023654431597,5.97091247459262e-09,2.52370567259448e-06,10.2711955316836
"SRD5A3","SRD5A3","chr4",56212371,"TSS200",-0.24917865812724,6.82635559431734,-6.53278569770039,6.1655145535968e-09,2.57166857038182e-06,10.2405606738385
"OPN4","OPN4",NA,NA,NA,-0.0620323354714527,6.5513418380426,-6.52838464240653,6.28340156572457e-09,2.58680298225284e-06,10.2224696424986
"NAP1L5","NAP1L5",NA,NA,NA,-1.00931764957873,9.26886097259833,-6.50724630709835,6.88149319482887e-09,2.79670941379583e-06,10.1356232110081
"PLCE1","PLCE1","chr10",95754256,"5'UTR",0.433869331183745,7.7976322828222,6.49610782176788,7.21900273744286e-09,2.89673907312581e-06,10.0898912232347
"FAM5B","FAM5B","chr1",177225850,"Body",-0.423996132133584,7.94161687265595,-6.4920601316129,7.34567383478765e-09,2.91072325703461e-06,10.0732775796772
"BRWD1","BRWD1","chr21",40557788,"3'UTR",-0.693892504047946,8.85430539057896,-6.48669177341189,7.51707826679584e-09,2.92266587466638e-06,10.0512475953828
"LAMA5","LAMA5","chr20",60926800,"Body",0.552155925107433,10.6610910429311,6.48387970918244,7.60843935596017e-09,2.92266587466638e-06,10.0397097705231
"C1ORF165","C1ORF165",NA,NA,NA,-0.372290127891042,7.8513598157584,-6.48253833662003,7.6524059178962e-09,2.92266587466638e-06,10.034206631661
"PRR16","PRR16","chr5",119802022,"5'UTR",-0.189473890785403,6.78380250164398,-6.46816150127021,8.13974122533413e-09,3.0717832957511e-06,9.97524340443573
"MCM7","MCM7",NA,NA,NA,0.554161068474602,7.91240099882916,6.44943616374515,8.82084458105305e-09,3.23664981985041e-06,9.89849951919371
"TCL1B","TCL1B",NA,NA,NA,0.183868556392503,6.76094450076861,6.44846474354255,8.85767932633353e-09,3.23664981985041e-06,9.89451992281359
"NDUFAB1","NDUFAB1","chr16",23607835,"TSS200",-0.521215226142537,11.2317075805506,-6.44780141918016,8.88291906394277e-09,3.23664981985041e-06,9.89180259115107
"BRF2","BRF2","chr8",37707208,"1stExon",-0.305191171124999,7.68722455732952,-6.44344328938272,9.05052846824288e-09,3.25331052956345e-06,9.87395127985993
"SAP30L","SAP30L",NA,NA,NA,0.428487100348553,8.36397084836878,6.44130516950275,9.13390022495733e-09,3.25331052956345e-06,9.86519456017609
"FBL","FBL","chr19",40337107,"TSS200",0.379973806221612,8.93303333614168,6.4273617484136,9.69656556104676e-09,3.40976097876401e-06,9.8081087584972
"CYP2C8","CYP2C8","chr10",96798865,"Body",-0.406866404582153,7.19993181195402,-6.42516538871974,9.78827284124684e-09,3.40976097876401e-06,9.79911977887268
"PLXNB1","PLXNB1",NA,NA,NA,0.88849448640407,9.38008705488955,6.41931171881312,1.00369053946043e-08,3.43606186125286e-06,9.77516682644977
"CRMP1","CRMP1","chr4",5892208,"Body",-0.390796714394227,8.84776078819346,-6.41829877967961,1.00805600345904e-08,3.43606186125286e-06,9.7710225461911
"PTBP1","PTBP1",NA,NA,NA,0.576808702870634,10.6355161978955,6.41536905350008,1.02078838005461e-08,3.44244591997141e-06,9.75903706810188
"ITSN1","ITSN1","chr21",35261572,"3'UTR",0.762471328916247,9.25049892143147,6.40860579316201,1.05079248058879e-08,3.50632859312261e-06,9.73137452060658
"FBXO16","FBXO16","chr8",28348123,"TSS1500",-0.188822168116097,6.69782146658112,-6.40508449490274,1.06675823456532e-08,3.52252458705424e-06,9.71697524357305
"ATP6V1E1","ATP6V1E1",NA,NA,NA,-0.631425772655755,11.7500195163765,-6.40157812977639,1.08289495919458e-08,3.53894538211014e-06,9.70263925301983
"MTMR10","MTMR10","chr15",31283468,"Body",0.352584055672486,9.32761304860359,6.38329922130633,1.17101337394057e-08,3.78786979121591e-06,9.62794090738082
"CFLAR","CFLAR","chr2",202028950,"3'UTR",0.754303829423254,9.50872227813123,6.37604084969128,1.20794176995563e-08,3.86785395026196e-06,9.59829585024801
"PCDH8","PCDH8",NA,NA,NA,-0.367216474271821,6.8541409158411,-6.36030563187742,1.29200361901496e-08,4.09565147227743e-06,9.53406246501341
"MRPL21","MRPL21",NA,NA,NA,-0.326444640845077,8.45058669563111,-6.34900185628342,1.35594149332286e-08,4.25577676617174e-06,9.48794718161253
"CORT","CORT",NA,NA,NA,-0.22091378822089,6.71259726355312,-6.34501196465532,1.37924956932744e-08,4.28649130859608e-06,9.47167557067159
"PLEKHH3","PLEKHH3","chr17",40830166,"TSS1500",0.454761510029875,8.11361462234592,6.33854497807185,1.41787351221075e-08,4.36328099316344e-06,9.44530818648621
"DDX39","DDX39","chr19",14530417,"TSS1500",0.449061167800368,8.82453061552897,6.33630718245731,1.4314865087981e-08,4.36328099316344e-06,9.43618601192069
"KCNJ10","KCNJ10","chr1",160040411,"TSS1500",0.598416658550216,8.73794199936436,6.32167238226505,1.52375849952159e-08,4.48179552232936e-06,9.37655186527811
"C6ORF225","C6ORF225",NA,NA,NA,0.511222878705876,8.17577187085775,6.32011149331352,1.53394073657822e-08,4.48179552232936e-06,9.37019392280673
"DDIT4L","DDIT4L","chr4",101111872,"TSS1500",0.902729262454809,9.1428349998845,6.31671316705461,1.55634273993455e-08,4.48179552232936e-06,9.35635318184199
"CHD7","CHD7","chr8",61593040,"5'UTR",0.564897369204186,8.76056085683189,6.31629109628587,1.55914756911511e-08,4.48179552232936e-06,9.35463432093361
"FAM65C","FAM65C","chr20",49203350,"3'UTR",0.618916601872593,7.21798759424564,6.31553127345684,1.56420951192723e-08,4.48179552232936e-06,9.35154006823289
"SVOP","SVOP","chr12",109460299,"TSS1500",-0.991842976265783,8.67981615576535,-6.31486103497157,1.56868814348245e-08,4.48179552232936e-06,9.34881072437304
"PPFIBP2","PPFIBP2","chr11",7534989,"TSS200",0.648156428489573,8.81943488603578,6.31277222135581,1.58272747242454e-08,4.48179552232936e-06,9.34030521176176
"KLHL35","KLHL35","chr11",75136574,"Body",-0.415801263192058,8.12931883631142,-6.31266173932899,1.58347349684823e-08,4.48179552232936e-06,9.33985535937328
"LINGO1","LINGO1","chr15",77925960,"TSS1500",-0.645042216045759,9.26340632652574,-6.30261548237102,1.65278530989334e-08,4.63657471890433e-06,9.29895953826734
"ARAP1","ARAP1","chr11",72437731,"Body",0.282951989082934,7.22928315641704,6.28984384011505,1.74524980989953e-08,4.85301920822939e-06,9.2469973862664
